#format table ## [Custom WaveView] saved 00:59:01 Sat Jan 13 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.000E-05 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.885E-05 , 1.325E+00 , 2.883E-05 
 1.300E-04 , 9.061E-06 , 9.061E-06 , 9.061E-06 , 1.284E+00 , 1.284E+00 , 1.319E+00 
 1.800E-04 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.885E-05 , 2.885E-05 , 1.325E+00 
 2.300E-04 , 1.055E-05 , 1.055E-05 , 1.055E-05 , 1.274E+00 , 1.313E+00 , 1.051E-05 
 2.800E-04 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.884E-05 , 1.325E+00 , 2.886E-05 
 3.300E-04 , 1.055E-05 , 1.055E-05 , 1.055E-05 , 1.274E+00 , 1.313E+00 , 1.056E-05 
 3.800E-04 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.884E-05 , 1.325E+00 , 2.876E-05 
 4.300E-04 , 1.055E-05 , 1.055E-05 , 1.055E-05 , 1.274E+00 , 1.313E+00 , 1.054E-05 
 4.800E-04 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.883E-05 , 1.325E+00 , 2.879E-05 
 5.300E-04 , 9.699E-06 , 9.700E-06 , 9.700E-06 , 1.313E+00 , 9.699E-06 , 1.313E+00 
 5.800E-04 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.848E-04 , 1.317E+00 , 1.337E+00 
 6.300E-04 , 1.055E-05 , 1.055E-05 , 1.055E-05 , 1.274E+00 , 1.313E+00 , 1.053E-05 
 6.800E-04 , 1.296E+00 , 1.296E+00 , 1.325E+00 , 2.882E-05 , 1.325E+00 , 2.875E-05 
 7.300E-04 , 9.703E-06 , 9.703E-06 , 9.704E-06 , 1.313E+00 , 9.704E-06 , 1.313E+00 
 7.800E-04 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.846E-04 , 1.317E+00 , 1.337E+00 
 8.300E-04 , 9.703E-06 , 9.703E-06 , 9.704E-06 , 1.313E+00 , 9.701E-06 , 1.313E+00 
 8.800E-04 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.845E-04 , 1.317E+00 , 1.337E+00 
 9.300E-04 , 9.706E-06 , 9.706E-06 , 9.706E-06 , 1.313E+00 , 9.706E-06 , 1.313E+00 
 9.800E-04 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.844E-04 , 1.317E+00 , 1.337E+00 
 1.030E-03 , 9.096E-05 , 9.096E-05 , 9.096E-05 , 1.302E+00 , 9.096E-05 , 9.095E-05 
 1.080E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.602E-05 , 2.602E-05 
 1.130E-03 , 9.710E-06 , 9.710E-06 , 9.710E-06 , 1.313E+00 , 9.713E-06 , 1.313E+00 
 1.180E-03 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.843E-04 , 1.317E+00 , 1.337E+00 
 1.230E-03 , 9.101E-05 , 9.101E-05 , 9.101E-05 , 1.302E+00 , 9.101E-05 , 9.098E-05 
 1.280E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.600E-05 , 2.602E-05 
 1.330E-03 , 9.103E-05 , 9.103E-05 , 9.103E-05 , 1.302E+00 , 9.103E-05 , 9.105E-05 
 1.380E-03 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.841E-04 , 1.317E+00 , 1.337E+00 
 1.430E-03 , 9.105E-05 , 9.105E-05 , 9.105E-05 , 1.302E+00 , 9.105E-05 , 9.103E-05 
 1.480E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.600E-05 , 2.600E-05 
 1.530E-03 , 9.107E-05 , 9.107E-05 , 9.107E-05 , 1.302E+00 , 9.107E-05 , 9.106E-05 
 1.580E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.839E-04 , 1.337E+00 
 1.630E-03 , 9.109E-05 , 9.109E-05 , 9.109E-05 , 1.302E+00 , 9.109E-05 , 9.109E-05 
 1.680E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.599E-05 , 2.599E-05 
 1.730E-03 , 1.057E-05 , 1.057E-05 , 1.057E-05 , 1.057E-05 , 1.274E+00 , 1.313E+00 
 1.780E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.837E-04 , 1.337E+00 
 1.830E-03 , 1.057E-05 , 1.057E-05 , 1.057E-05 , 1.057E-05 , 1.274E+00 , 1.313E+00 
 1.880E-03 , 1.295E+00 , 1.295E+00 , 1.295E+00 , 1.325E+00 , 2.598E-05 , 2.592E-05 
 1.930E-03 , 9.116E-05 , 9.116E-05 , 9.116E-05 , 1.302E+00 , 9.116E-05 , 9.116E-05 
 1.980E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.836E-04 , 1.337E+00 
