#format table ## [Custom WaveView] saved 14:30:34 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.000E-05 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.172E-06 , 1.319E+00 , 9.135E-06 
 1.300E-04 , 2.198E-05 , 2.198E-05 , 2.198E-05 , 1.269E+00 , 1.269E+00 , 1.310E+00 
 1.800E-04 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.171E-06 , 9.173E-06 , 1.319E+00 
 2.300E-04 , 1.922E-04 , 1.922E-04 , 1.922E-04 , 1.250E+00 , 1.300E+00 , 1.922E-04 
 2.800E-04 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.172E-06 , 1.319E+00 , 9.209E-06 
 3.300E-04 , 1.923E-04 , 1.923E-04 , 1.923E-04 , 1.250E+00 , 1.300E+00 , 1.923E-04 
 3.800E-04 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.171E-06 , 1.319E+00 , 9.173E-06 
 4.300E-04 , 1.924E-04 , 1.924E-04 , 1.924E-04 , 1.250E+00 , 1.300E+00 , 1.923E-04 
 4.800E-04 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.171E-06 , 1.319E+00 , 9.154E-06 
 5.300E-04 , 1.645E-04 , 1.645E-04 , 1.645E-04 , 1.300E+00 , 1.645E-04 , 1.300E+00 
 5.800E-04 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.946E-05 , 1.296E+00 , 1.326E+00 
 6.300E-04 , 1.925E-04 , 1.925E-04 , 1.925E-04 , 1.250E+00 , 1.300E+00 , 1.924E-04 
 6.800E-04 , 1.284E+00 , 1.284E+00 , 1.319E+00 , 9.171E-06 , 1.319E+00 , 9.117E-06 
 7.300E-04 , 1.646E-04 , 1.646E-04 , 1.646E-04 , 1.300E+00 , 1.646E-04 , 1.300E+00 
